DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;CD_CARGO;DS_CARGO;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_LOCAL_VOTACAO;SQ_CANDIDATO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;167;13;Vereador;70444;JOSÉ ADMILSON LIMA DO NASCIMENTO;7;1309;1,70002E+11;ESCOLA ESTADUAL PROFESSOR ARRUDA MARINHO;AV. JOAQUIM DE BRITO                   229
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;48;13;Vereador;10333;MARIA MIZILENE PONTES DA SILVA;3;1295;1,70002E+11;EDUCANDÁRIO IMACULADA CONCEICÃO;RUA MINISTRO ANDRÉ CAVALCANTI, 34
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;38;13;Vereador;10333;MARIA MIZILENE PONTES DA SILVA;3;1031;1,70002E+11;ESCOLA ESTADUAL CACILDA DE ALMEIDA;RUA ANÍSIO GALVÃO, 16
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;48;13;Vereador;70888;ADELMO PEREIRA;1;1295;1,70002E+11;EDUCANDÁRIO IMACULADA CONCEICÃO;RUA MINISTRO ANDRÉ CAVALCANTI, 34
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;38;13;Vereador;70888;ADELMO PEREIRA;2;1031;1,70002E+11;ESCOLA ESTADUAL CACILDA DE ALMEIDA;RUA ANÍSIO GALVÃO, 16
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;196;13;Vereador;22232;JOSÉ LENILDO ALVES FEITOZA;4;1473;1,70002E+11;PONTO CULTURAL;ALDEIA SANTANA
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;71;13;Vereador;70888;ADELMO PEREIRA;1;1120;1,70002E+11;ESCOLA MONSENHOR OLÍMPIO TORRES;RUA N. S. DAS MONTANHAS,   S/N
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;196;13;Vereador;70444;JOSÉ ADMILSON LIMA DO NASCIMENTO;12;1473;1,70002E+11;PONTO CULTURAL;ALDEIA SANTANA
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;173;13;Vereador;70444;JOSÉ ADMILSON LIMA DO NASCIMENTO;6;1040;1,70002E+11;EREMJAM - ESCOLA DE REFERENCIA EM ENSINO MÉDIO JOSÉ DE ALMEIDA MACIEL;AV. ÉSIO ARAÚJO, SN
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;136;13;Vereador;70444;JOSÉ ADMILSON LIMA DO NASCIMENTO;12;1309;1,70002E+11;ESCOLA ESTADUAL PROFESSOR ARRUDA MARINHO;AV. JOAQUIM DE BRITO                   229
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;136;13;Vereador;12777;ISABELA SILVA OLIVEIRA DE ALMEIDA;3;1309;1,70002E+11;ESCOLA ESTADUAL PROFESSOR ARRUDA MARINHO;AV. JOAQUIM DE BRITO                   229
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;195;13;Vereador;22123;GEILDO NAPOLEÃO ARCOVERDE;11;1503;1,70002E+11;ESCOLA SANTO ANTONIO;RUA SANTO ANTONIO, S/N
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;160;13;Vereador;12100;WILSON FEITOZA PINHEIRO;1;1333;1,70002E+11;ESCOLA ESTADUAL DOM ADELMO MACHADO;RUA PAES BARRETO,  800
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;154;13;Vereador;70000;CÍCERO ROMÃO LEITE SOARES;1;1384;1,70002E+11;ESCOLA DE PRIMEIRO GRAU PROFESSORA MARGARIDA FALCÃO DE LIMA;RUA 12, SN
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;37;13;Vereador;25555;SEVERINO BEZERRA DA SILVA;1;1031;1,70002E+11;ESCOLA ESTADUAL CACILDA DE ALMEIDA;RUA ANÍSIO GALVÃO, 16
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;110;13;Vereador;25999;EVANILDO DE PONTES JARDIM;1;1309;1,70002E+11;ESCOLA ESTADUAL PROFESSOR ARRUDA MARINHO;AV. JOAQUIM DE BRITO                   229
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;202;13;Vereador;11111;JOSÉ MARIA ALVES PEREIRA JUNIOR;2;1481;1,70002E+11;ESCOLA ESTADUAL URUBÁ;ALDEIA CANA BRAVA
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;28;13;Vereador;11111;JOSÉ MARIA ALVES PEREIRA JUNIOR;4;1554;1,70002E+11;ESCOLA ARCO IRIS;RUA PEDRO ALVARES SANTA CRUZ, S/N
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;192;13;Vereador;11111;JOSÉ MARIA ALVES PEREIRA JUNIOR;16;1384;1,70002E+11;ESCOLA DE PRIMEIRO GRAU PROFESSORA MARGARIDA FALCÃO DE LIMA;RUA 12, SN
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;118;13;Vereador;70701;GRACIETE RODRIGUES GONÇALVES;1;1589;1,70002E+11;ESCOLA MUNICIPAL PROFESSOR PAULO OLIVEIRA DE MELO;RUA ANTONIO BARBOSA FILHO
45593;0,490532407;2024;2;Eleição Ordinária;1;619;Eleições Municipais 2024;45571;M;PE;25178;PESQUEIRA;25178;PESQUEIRA;55;118;13;Vereador;11111;JOSÉ MARIA ALVES PEREIRA JUNIOR;38;1589;1,70002E+11;ESCOLA MUNICIPAL PROFESSOR PAULO OLIVEIRA DE MELO;RUA ANTONIO BARBOSA FILHO
